404.50488|ISTEP 10. 1 - proc_build_smp
405.43661|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090000 0000000000000000
405.43665|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090002 0000010000801880
405.43668|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 2210A8B102000000
405.43673|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000090003 2000000000000004
405.43676|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 0000000000000000
405.43681|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.43686|SCAN|TRACE : PUTSCOMMASK : pu:k0:n0:s0:p00 : 0000000000090021 0000000000000000 0000000300000000
405.50087|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000DAA05011C11 0000000002100018
405.50090|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000F4D05011C11 000A22127FBF9145
405.50095|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.50100|SCAN|TRACE : PUTSCOMMASK : pu:k0:n0:s0:p00 : 0000000000090021 0000000100000000 0000000300000000
405.50102|FAPI|p9_build_smp_adu.C: Issuing ADU op for pu:k0:n0:s0:p00
405.50106|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.50110|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0A 88087EFEA0000040
405.50113|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000090021 0000000100000000
405.50116|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 1810000000000000
405.50120|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090000 0000000000000000
405.50123|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090002 0000010000801880
405.50129|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 2210A8B102000000
405.50173|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000090003 2000000000000004
405.50176|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 0000000000000000
405.50180|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.50185|SCAN|TRACE : PUTSCOMMASK : pu:k0:n0:s0:p00 : 0000000000090021 0000000000000000 0000000300000000
405.50187|FAPI|p9_build_smp_fbc_cd.C: End
405.50497|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501180B C000000000002200
405.50500|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501180B D000000000002201
405.50503|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501180F 0000000000006000
405.50658|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501180F 0000000000006005
405.50661|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0B C000000000002200
405.50664|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0B D000000000002201
405.50667|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0F 0000000000006000
405.50671|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0F 0000000000006005
405.50674|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501200B C000000000002200
405.50677|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501200B D000000000002201
405.50680|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501200F 0000000000006000
405.50684|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501200F 0000000000006005
405.50688|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.50693|SCAN|TRACE : PUTSCOMMASK : pu:k0:n0:s0:p00 : 0000000000090021 0000000200000000 0000000300000000
405.50695|FAPI|p9_build_smp_adu.C: Issuing ADU op for pu:k0:n0:s0:p00
405.50699|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.50703|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0A 88087EFEA0000040
405.50706|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000090021 0000000200000000
405.50709|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 1810000000000000
405.50712|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090000 0000000000000000
405.50716|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090002 0000010000801880
405.50719|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 2210A8B102000000
405.50724|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000090003 2000000000000004
405.50728|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000090001 0000000000000000
405.50732|FAPI|p9_build_smp_adu.C: subroutine_executor: isSecure = 0   isMaster = 1 .. executing hwp p9_putmemproc on host
405.50737|SCAN|TRACE : PUTSCOMMASK : pu:k0:n0:s0:p00 : 0000000000090021 0000000000000000 0000000300000000
405.50741|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501180C D000000000002201
405.50744|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0C D000000000002201
405.50747|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501200C D000000000002201
405.50750|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011810 0000000000006005
405.50753|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C10 0000000000006005
405.50757|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012010 0000000000006005
405.50760|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501180E 0000000000000000
405.50763|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0E 0000000000000000
405.50766|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501200E 0000000000000000
405.50769|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501180B D000000000002201
405.50772|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0B D000000000002201
405.50776|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501200B D000000000002201
405.50779|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501180F 0000000000006005
405.50782|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0F 0000000000006005
405.50785|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501200F 0000000000006005
405.50788|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501180D 0000000000000000
405.50791|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0D 0000000000000000
405.50794|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501200D 0000000000000000
405.51052|ISTEPS_TRACE|Calling p9_io_xbus_erepair_cleanup HWP for XBUS with HUID of 0x000E0001
405.64788|FAPI_I|p9_io_xbus_clear_firs.C: I/O Start Xbus Clear FIRs
405.64940|FAPI_I|p9_io_xbus_clear_firs.C: Get Pre Bad Lane Data
405.64942|FAPI_I|p9_io_xbus_clear_firs.C: Get Current Bad Lane Data
405.64944|FAPI_I|p9_io_xbus_clear_firs.C: I/O EDI+ Xbus Get Current Bad Lane Data :: Start
405.65103|SCAN|TRACE : GETSCOM     :  pu.xbus:k0:n0:s0:p00:c1 : 800A400006010C3F 0000000000000000
405.66979|SCAN|TRACE : GETSCOM     :  pu.xbus:k0:n0:s0:p00:c1 : 800A500006010C3F 0000000000000000
405.69050|FAPI_I|p9_io_xbus_read_erepair.C: p9_io_xbus_read_erepair: Entering.
405.69055|SCAN|TRACE : GETSCOM     :  pu.xbus:k0:n0:s0:p00:c1 : 800B580006010C3F 0000000000000000
405.69057|FAPI_I|p9_io_xbus_read_erepair.C: p9_io_xbus_read_erepair: Exiting.
405.69207|FAPI_I|p9_io_xbus_clear_firs.C: I/O EDI+ Xbus Get Current Bad Lane Data :: Exit
405.69210|FAPI_I|p9_io_xbus_clear_firs.C: Compare Bad Lane Data
405.69211|FAPI_I|p9_io_xbus_clear_firs.C: Get Pre Bad Lane Data
405.69212|FAPI_I|p9_io_xbus_clear_firs.C: Get Current Bad Lane Data
405.69215|FAPI_I|p9_io_xbus_clear_firs.C: I/O EDI+ Xbus Get Current Bad Lane Data :: Start
405.69219|SCAN|TRACE : GETSCOM     :  pu.xbus:k0:n0:s0:p00:c1 : 800A402006010C3F 0000000000000000
405.69225|SCAN|TRACE : GETSCOM     :  pu.xbus:k0:n0:s0:p00:c1 : 800A502006010C3F 0000000000000000
405.69227|FAPI_I|p9_io_xbus_read_erepair.C: p9_io_xbus_read_erepair: Entering.
405.69231|SCAN|TRACE : GETSCOM     :  pu.xbus:k0:n0:s0:p00:c1 : 800B582006010C3F 0000000000000000
405.69233|FAPI_I|p9_io_xbus_read_erepair.C: p9_io_xbus_read_erepair: Exiting.
405.69236|FAPI_I|p9_io_xbus_clear_firs.C: I/O EDI+ Xbus Get Current Bad Lane Data :: Exit
405.69237|FAPI_I|p9_io_xbus_clear_firs.C: Compare Bad Lane Data
405.69238|FAPI_I|p9_io_xbus_clear_firs.C: I/O End Xbus Clear FIRs
405.69240|ISTEPS_TRACE|call_proc_build_smp exit
405.71780|SCOM|doMulticastWorkaround on 00050000 for 50040018
405.71834|SCOM|doMulticastWorkaround on 00050000 for 50040009
405.71895|ERRL|I>Got an error log Msg - Type: 0x00000039
405.71896|ERRL|I>Flush message received
405.71898|INITSVC|<<doIstep: step 10, substep 1
405.71900|INITSVC|>>doIstep: step 10, substep 2, task host_slave_sbe_update
