491.89483|FAPI|p9_pm_recovery_ffdc_cme.C: CME FFDC Quad Pos 1 Ex Pos 1 
491.89805|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#0 Core#1 
491.89806|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#0 Core#3 
491.89808|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#1 Core#0 
491.89810|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#1 Core#3 
491.89820|FAPI|p9_pm_recovery_ffdc_base.C: p9_pm_recovery_ffdc_base: Collecting FIR & PPE Halt States
491.89822|FAPI|p9_pm_recovery_ffdc_base.C: PlatPmComplex::collectFfdc No-Op. Plat Type 0x00
491.89830|FAPI|p9_pm_recovery_ffdc_cme.C: CME FFDC Quad Pos 0 Ex Pos 0 
491.94437|FAPI|collect_reg_ffdc_regs.C: getAddresses. FFDC ID: 0x954d5fb8
491.93218|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c0 : 0000000010012000 0000000000000000
491.93221|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c0 : 0000000010012006 F800000000000000
491.93225|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c0 : 0000000010012007 01C7F00000000000
491.93228|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c0 : 0000000010012003 063FFC0000000000
491.93231|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000010012013 000210000000013C
491.93232|FAPI|p9_pm_recovery_ffdc_cme.C: CME FFDC Quad Pos 0 Ex Pos 1 
491.93234|FAPI|collect_reg_ffdc_regs.C: getAddresses. FFDC ID: 0x954d5fb8
491.93237|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c1 : 0000000010012000 0000000000000000
491.93240|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c1 : 0000000010012006 F800000000000000
491.93244|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c1 : 0000000010012007 01C7F00000000000
491.93247|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c1 : 0000000010012003 063FFC0000000000
491.93249|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000010012413 000210000000013C
491.93251|FAPI|p9_pm_recovery_ffdc_cme.C: CME FFDC Quad Pos 1 Ex Pos 0 
491.93252|FAPI|collect_reg_ffdc_regs.C: getAddresses. FFDC ID: 0x954d5fb8
491.93256|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c2 : 0000000010012000 0000000000000000
491.93259|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c2 : 0000000010012006 F800000000000000
491.93262|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c2 : 0000000010012007 01C7F00000000000
491.93266|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c2 : 0000000010012003 063FFC0000000000
491.93268|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000011012013 000210000000023C
491.93270|FAPI|p9_pm_recovery_ffdc_cme.C: CME FFDC Quad Pos 1 Ex Pos 1 
491.93271|FAPI|collect_reg_ffdc_regs.C: getAddresses. FFDC ID: 0x954d5fb8
491.93275|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c3 : 0000000010012000 0000000000000000
491.93278|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c3 : 0000000010012006 F800000000000000
491.93282|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c3 : 0000000010012007 01C7F00000000000
491.93286|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c3 : 0000000010012003 063FFC0000000000
491.93288|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000011012413 000210000000013C
491.93294|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066013 00031000A080E0D9
491.93297|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000064013 8800140000000000
491.93300|FAPI|collect_reg_ffdc_regs.C: getAddresses. FFDC ID: 0x13311d75
491.93453|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010800 0000038200000000
491.93455|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010803 EF9C03FF0010011F
491.93457|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010806 0000000000000000
491.93459|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010807 1063FC00FFEFFEE0
491.93461|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012840 0000000000000000
491.93471|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#0 Core#1 
491.93473|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#0 Core#3 
491.93475|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#1 Core#0 
491.93476|FAPI|p9_pm_recovery_ffdc_cppm.C: CPPM FFDC: Quad#1 Core#3 
491.93486|FAPI_I|p9_pm_recovery_ffdc_base.C: << p9_pm_recovery_ffdc_base
491.93489|FAPI_I|p9_pm_occ_firinit.C: p9_pm_occ_firinit Enter
491.93494|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010800 0000038200000000
491.93496|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010803 EF9C03FF0010011F
491.93497|FAPI|p9_pm_occ_firinit.C: WARNING: OCC has active errors
491.93498|FAPI_I|p9_pm_occ_firinit.C: pm_occ_fir_reset Enter
491.97285|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010806 0800000000000000
491.97287|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010807 0000000000000000
491.97290|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010805 FFFFFFFFFFFFFFFF
491.97292|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010804 F7FFFFFFFFFFFFFF
491.97293|FAPI_I|p9_pm_occ_firinit.C: p9_pm_occ_firinit Exit
491.97295|FAPI_I|p9_pm_occ_control.C: Entering p9_pm_occ_control ....
491.97297|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010803 F7FFFFFFFFFFFFFF
491.97299|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010805 0000000100000000
491.97301|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D006 0200000000000000
491.97404|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010801 FFFFFFFEFFFFFFFF
491.97406|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001010800 0000038300000000
491.97409|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D002 8000000000000000
491.97411|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D005 FDFFFFFFFFFFFFFF
491.97413|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010801 FFFFFFFEFFFFFFFF
491.97415|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000001010803 F7FFFFFFFFFFFFFF
491.97416|FAPI_I|p9_pm_occ_control.C: Exiting p9_pm_occ_control ....
491.95436|FAPI|p9_pm_reset.C: >> p9_pm_reset_clear_errinj
491.95465|FAPI|p9_pm_reset.C: Clearing SGPE and PGPE Hcode Error Injection bits
491.95468|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C18B 0000001300000000
491.95470|FAPI|p9_pm_reset.C: Clearing CME Hcode Error Injection and other CSAR settings for core 1
491.95474|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F0139 0000001B00000000
491.95476|FAPI|p9_pm_reset.C: Clearing CME Hcode Error Injection and other CSAR settings for core 3
491.95480|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0139 0000001B00000000
491.95482|FAPI|p9_pm_reset.C: Clearing CME Hcode Error Injection and other CSAR settings for core 4
491.95485|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c4 : 00000000200F0139 0000001B00000000
491.95487|FAPI|p9_pm_reset.C: Clearing CME Hcode Error Injection and other CSAR settings for core 7
491.95491|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c7 : 00000000200F0139 0000001B00000000
491.95492|FAPI|p9_pm_reset.C: << p9_pm_reset_clear_errinj
491.96249|FAPI|plat_utils.C: platSpecialWakeup : HUID=00060000, enable=1
491.97769|FAPI|p9_cpu_special_wakeup_ex.C: >> p9_cpu_special_wakeup_ex
491.97918|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98212|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0080000000000000
491.98358|FAPI|p9_cpu_special_wakeup_ex.C: > set_addresses for EX
491.98360|FAPI|p9_cpu_special_wakeup_ex.C: < set_addresses for EX
491.98361|FAPI|p9_cpu_special_wakeup_lib.H: < spwkup_setup_entity
491.98362|FAPI|p9_cpu_special_wakeup_lib.H: Ignore XSTOP:  NO
491.98365|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000000F001A 0000000000000000
491.98366|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98368|FAPI|p9_cpu_special_wakeup_lib.H: Setting Special Wake-up  ...
491.98370|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000210F0111 0FBFF00000000000
491.98373|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000210F010B 0000000000000000
491.98375|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000210F0100 0011000000000000
491.98377|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000210F010B 8000000000000000
491.98379|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000210F0100 D011000000000000
491.98059|FAPI|p9_cpu_special_wakeup_lib.H: Special wakeup done is set.  SUCCESS!  ... 
491.98060|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98061|FAPI|p9_cpu_special_wakeup_lib.H: << p9_cpu_special_wakeup
491.98062|FAPI|p9_cpu_special_wakeup_ex.C: << p9_cpu_special_wakeup_ex
491.98063|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98068|FAPI|plat_utils.C: platSpecialWakeup : HUID=00060001, enable=1
491.98069|FAPI|p9_cpu_special_wakeup_ex.C: >> p9_cpu_special_wakeup_ex
491.98071|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98077|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0080000000000000
491.98078|FAPI|p9_cpu_special_wakeup_ex.C: > set_addresses for EX
491.98080|FAPI|p9_cpu_special_wakeup_ex.C: < set_addresses for EX
491.98081|FAPI|p9_cpu_special_wakeup_lib.H: < spwkup_setup_entity
491.98083|FAPI|p9_cpu_special_wakeup_lib.H: Ignore XSTOP:  NO
491.98085|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000000F001A 0000000000000000
491.98086|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98087|FAPI|p9_cpu_special_wakeup_lib.H: Setting Special Wake-up  ...
491.98089|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000230F0111 00B0F00000000000
491.98092|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000230F010B 0000000000000000
491.98094|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000230F0100 0011000000000000
491.98096|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000230F010B 8000000000000000
491.98098|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000230F0100 D011000000000000
