438.79675|ISTEP 13. 9 - mss_ddr_phy_reset
438.87334|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800010030701103F 0000000000001320
438.87339|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000030701103F 0000000000001320
438.87344|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004030701103F 0000000000001320
438.87349|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008030701103F 0000000000001320
438.87354|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C030701103F 0000000000001320
438.87359|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010030701103F 0000000000001320
438.96008|FAPI|conversions.H: converting 32 cycles to 24000ps
438.96009|FAPI|adr32s.H: set_output_flush low
438.96010|FAPI|adr32s.H: set_init_io low
438.96015|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800080350701103F 0000000000000000
438.96020|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800084350701103F 0000000000000000
438.96025|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800080350701103F 0000000000000000
438.96030|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800084350701103F 0000000000000000
438.96032|FAPI|dp16.H: set_output_flush low
438.96033|FAPI|dp16.H: set_init_io low
438.96037|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000030701103F 0000000000000120
438.96042|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004030701103F 0000000000000120
438.96047|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008030701103F 0000000000000120
438.96054|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C030701103F 0000000000000120
438.96059|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800010030701103F 0000000000000120
438.96064|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000030701103F 0000000000000120
438.96069|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004030701103F 0000000000000120
438.96074|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008030701103F 0000000000000120
438.96079|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C030701103F 0000000000000120
438.96084|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010030701103F 0000000000000120
438.96087|FAPI|phy_cntrl.H: set_enable_zcal high
438.96092|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000C00E0701103F 0000000000001000
438.96094|FAPI|conversions.H: converting 1024 cycles to 768000ps
438.96099|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000C0000701103F 0000000000000001
438.96100|FAPI|ddr_phy.C: phy control zcal cal stat 0x1, remaining: 50
438.96102|FAPI|phy_cntrl.H: zcal_status: 0x0000000000000001
438.96104|FAPI|p9_mss_ddr_phy_reset.C: starting DLL calibration pu.mcbist:k0:n0:s0:p00:c0
438.96112|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000803A0701103F 0000000000008100
438.96117|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000843A0701103F 0000000000008100
