438.79675|ISTEP 13. 9 - mss_ddr_phy_reset
439.00187|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000120D0701103F 0000000000000000
439.00192|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000030D0701103F 0000000000000000
439.00197|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000070D0701103F 0000000000000000
439.00201|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000B0D0701103F 0000000000000000
439.00206|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000F0D0701103F 0000000000000000
439.00211|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000130D0701103F 0000000000000000
439.00214|FAPI|p9_mss_ddr_phy_reset.C: take sysclk alignment out of cont update mode pu.mcbist:k0:n0:s0:p00:c0
439.00216|FAPI|ddr_phy.C: pu.mcbist:k0:n0:s0:p00:c0 continuous update: 0x8024
439.00224|FAPI|ddr_phy.C: pu.mcbist:k0:n0:s0:p00:c0 Write 0x8020 into the ADR SysClk Phase Rotator Control Regs
439.00229|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800080320701103F 0000000000008020
439.00235|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800084320701103F 0000000000008020
439.00239|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000070701103F 0000000000008020
439.00244|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007F0701103F 0000000000008020
439.00249|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004070701103F 0000000000008020
439.00254|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047F0701103F 0000000000008020
439.00258|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008070701103F 0000000000008020
439.00264|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087F0701103F 0000000000008020
439.00268|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C070701103F 0000000000008020
439.00273|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7F0701103F 0000000000008020
439.00278|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010070701103F 0000000000008020
439.00280|FAPI|conversions.H: converting 32 cycles to 24000ps
439.00284|FAPI|ddr_phy.C: force mclk high for all ports
439.00288|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 0400000000000000
439.00293|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 0480000000000000
439.00301|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000160701103F 0000000000003232
439.00306|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000001F0701103F 0000000000003232
439.00311|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C00701103F 0000000000003232
439.00315|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C10701103F 0000000000003232
439.00320|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C20701103F 0000000000003232
439.00325|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C30701103F 0000000000003232
439.00330|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C40701103F 0000000000003232
439.00335|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C50701103F 0000000000003232
439.00340|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004160701103F 0000000000003232
439.00345|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000041F0701103F 0000000000003232
439.00350|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C00701103F 0000000000003232
439.00355|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C10701103F 0000000000003232
439.00361|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C20701103F 0000000000003232
439.00366|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C30701103F 0000000000003232
439.00371|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C40701103F 0000000000003232
439.00376|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C50701103F 0000000000003232
439.00381|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008160701103F 0000000000003232
439.00386|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000081F0701103F 0000000000003232
439.00391|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C00701103F 0000000000003232
439.00396|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C10701103F 0000000000003232
439.00401|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C20701103F 0000000000003232
439.00406|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C30701103F 0000000000003232
439.00411|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C40701103F 0000000000003232
439.00416|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C50701103F 0000000000003232
439.00421|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C160701103F 0000000000003232
439.00427|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C1F0701103F 0000000000003232
439.00431|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC00701103F 0000000000003232
439.00437|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC10701103F 0000000000003232
439.00442|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC20701103F 0000000000003232
439.00447|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC30701103F 0000000000003232
439.00451|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC40701103F 0000000000003232
439.00456|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC50701103F 0000000000003232
439.00461|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010160701103F 0000000000003232
439.00466|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000101F0701103F 0000000000003232
439.00471|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010C00701103F 0000000000003232
439.00476|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010C10701103F 0000000000003232
439.00804|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000160701103F 0000000000003232
439.00808|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000001F0701103F 0000000000003232
439.00813|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C00701103F 0000000000003232
439.00818|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C10701103F 0000000000003232
439.00822|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C20701103F 0000000000003232
439.00827|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C30701103F 0000000000003232
439.00831|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C40701103F 0000000000003232
439.00836|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000C50701103F 0000000000003232
439.00841|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004160701103F 0000000000003232
439.00845|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000041F0701103F 0000000000003232
439.00850|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C00701103F 0000000000003232
439.00855|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C10701103F 0000000000003232
439.00859|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C20701103F 0000000000003232
439.00864|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C30701103F 0000000000003232
439.00869|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C40701103F 0000000000003232
439.00874|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004C50701103F 0000000000003232
439.00878|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008160701103F 0000000000003232
439.00884|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000081F0701103F 0000000000003232
439.00889|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C00701103F 0000000000003232
439.00893|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C10701103F 0000000000003232
439.00898|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C20701103F 0000000000003232
439.00903|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C30701103F 0000000000003232
439.00908|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C40701103F 0000000000003232
439.00913|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008C50701103F 0000000000003232
439.00917|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C160701103F 0000000000003232
439.00922|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C1F0701103F 0000000000003232
439.00927|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC00701103F 0000000000003232
439.00931|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC10701103F 0000000000003232
439.00936|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC20701103F 0000000000003232
439.00941|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC30701103F 0000000000003232
439.00946|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC40701103F 0000000000003232
439.00950|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CC50701103F 0000000000003232
439.00955|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010160701103F 0000000000003232
439.00960|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000101F0701103F 0000000000003232
439.00965|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010C00701103F 0000000000003232
439.00969|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010C10701103F 0000000000003232
439.00976|FAPI|adr32s.C: pu.mcbist:k0:n0:s0:p00:c0 Skipping DCD calibration algorithm per ATTR set
439.00986|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 0000000007010900 0000000000000000
439.00990|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 0000000007011000 0000000000000000
439.00995|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 0000000007010901 FFFFFFFFFFFFFFFF
439.00999|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 0000000007011001 FFFFFFFFFFFFFFFF
439.01003|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010900 0000000000000000
439.01008|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011000 0000000000000000
439.01012|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010901 FFFFFFFFFFFFFFFF
439.01016|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011001 FFFFFFFFFFFFFFFF
439.01018|FAPI|check.C: seeing FIRs set on 0 ports
439.01019|FAPI|unmask.C: unmask mss fir after phy reset
439.01023|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0000000000000000
439.01027|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 0000000000000000
439.01031|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0000000000000000
439.01036|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 0004000000000000
439.01040|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012304 DFF9FFFFFFFFFFFF
439.01047|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011006 0000000000000000
439.01051|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011007 000000000000F0E0
439.01056|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010906 0000000000000000
439.01060|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010907 0000000000000000
439.01064|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011006 0000000000000000
439.01068|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011007 000000000000F3FC
439.01072|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011004 FFFFFFFFFFFFFC83
439.01077|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010906 0000000000000000
439.01082|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010907 8800000000000000
439.01086|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010904 37DFFFFFFFFFFFFF
439.01089|ISTEPS_TRACE|SUCCESS running p9_mss_ddr_phy_reset HWP on target HUID 00250000
439.01154|ISTEPS_TRACE|call_mss_ddr_phy_reset exit
439.60447|SCOM|doMulticastWorkaround on 00050000 for 50040018
439.60499|SCOM|doMulticastWorkaround on 00050000 for 50040009
439.60563|ERRL|I>Got an error log Msg - Type: 0x00000039
439.60564|ERRL|I>Flush message received
439.60566|INITSVC|<<doIstep: step 13, substep 9
439.60568|INITSVC|>>doIstep: step 13, substep 10, task mss_draminit
